top - 22:32:28 up 55 min,  1 user,  load average: 4.81, 5.57, 5.65
Tasks: 187 total,   2 running, 185 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.2 us, 37.5 sy,  0.0 ni, 31.2 id, 12.5 wa,  0.0 hi, 12.5 si,  0.0 st 
MiB Mem :   3916.6 total,   3311.8 free,    612.3 used,    257.8 buff/cache     
MiB Swap:   2048.0 total,   1719.5 free,    328.5 used.   3304.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1382 colord    20   0  320064   4372   4244 S   0.0   0.1   0:00.10 colord
   1391 monitor   20   0  389080   5512   4616 S   0.0   0.1   0:00.40 gvfs-ud+
   1468 monitor   20   0  683488   4692   4180 S   0.0   0.1   0:00.81 gvfsd-t+
   1492 monitor   20   0  236304   3548   3548 S   0.0   0.1   0:00.06 gvfsd-m+
   1545 monitor   20   0  230108   3256   3128 S   0.0   0.1   0:00.09 dconf-s+
   1550 cups-br+  20   0  268464   5824   5568 S   0.0   0.1   0:00.10 cups-br+
   1551 root      20   0 2441640  56136  24204 S   0.0   1.4   6:43.44 dockerd
   1553 kernoops  20   0   12744   1696   1432 S   0.0   0.0   0:00.34 kernelo+
   1556 kernoops  20   0   12744   1532   1392 S   0.0   0.0   0:00.00 kernelo+
   1853 monitor   20   0  472272  12296   9812 S   0.0   0.3   0:12.83 xfce4-t+
   1859 monitor   20   0   11260   2976   2720 S   0.0   0.1   0:00.40 bash
   2633 monitor   20   0  462216   4096   3968 S   0.0   0.1   0:00.02 gvfsd-c+
   2814 monitor   20   0  536560   4428   4300 S   0.0   0.1   0:00.14 xdg-doc+
   2818 monitor   20   0  309308   3708   3580 S   0.0   0.1   0:00.00 xdg-per+
   2825 root      20   0    2704   1868   1868 S   0.0   0.0   0:00.00 fusermo+
   2914 monitor   20   0  489772   6732   6164 S   0.0   0.2   0:00.65 xdg-des+
   2923 monitor   20   0  410092   5128   4744 S   0.0   0.1   0:01.88 xdg-des+
   3027 monitor   20   0 1765940   7056   2464 S   0.0   0.2   0:03.61 snap
   4609 root      20   0       0      0      0 I   0.0   0.0   0:03.11 kworker+
   7061 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
   7089 root      20   0       0      0      0 I   0.0   0.0   0:03.04 kworker+
   9437 root      20   0       0      0      0 I   0.0   0.0   0:00.95 kworker+
   9640 root      20   0       0      0      0 I   0.0   0.0   0:02.48 kworker+
