top - 21:11:34 up  3:22,  1 user,  load average: 3.32, 2.70, 2.70
Tasks: 170 total,   1 running, 169 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.0 us, 15.0 sy,  0.0 ni, 25.0 id, 35.0 wa,  0.0 hi, 20.0 si,  0.0 st 
MiB Mem :   3916.6 total,   2557.4 free,    969.9 used,    604.6 buff/cache     
MiB Swap:   2048.0 total,   1788.6 free,    259.4 used.   2946.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    641 root      20   0  469244   9416   8392 S   0.0   0.2   0:14.49 udisksd
    669 avahi     20   0    8424   1168   1040 S   0.0   0.0   0:00.00 avahi-d+
    688 root      20   0  336496  13476  12324 S   0.0   0.3   0:26.05 Network+
    691 root      20   0   17380   4008   3880 S   0.0   0.1   0:03.71 wpa_sup+
    700 syslog    20   0  222508   4288   3776 S   0.0   0.1   0:01.04 rsyslogd
    724 root      20   0  318296   7380   6740 S   0.0   0.2   0:00.23 ModemMa+
    855 root      20   0   38204   7408   7280 S   0.0   0.2   0:00.27 cupsd
    857 root      20   0  112256   5192   5064 S   0.0   0.1   0:00.07 unatten+
    863 root      20   0 1802284  24544  14380 S   0.0   0.6   4:46.05 contain+
    870 root      20   0  306352   6192   6064 S   0.0   0.2   0:00.15 lightdm
    881 root      20   0  344520  59916   8384 S   0.0   1.5   5:04.90 Xorg
    887 cups-br+  20   0  268348   9656   9400 S   0.0   0.2   0:00.41 cups-br+
    894 root      20   0    8704   1636   1636 S   0.0   0.0   0:00.00 agetty
    902 kernoops  20   0   12744   1988   1852 S   0.0   0.0   0:00.61 kernelo+
    906 kernoops  20   0   12744   2236   1952 S   0.0   0.1   0:00.93 kernelo+
    945 root      20   0 2121932  48232  26148 S   0.0   1.2   1:41.41 dockerd
   1143 rtkit     21   1   88476   3124   2996 S   0.0   0.1   0:05.80 rtkit-d+
   1358 root      20   0  234536   6156   6028 S   0.0   0.2   0:00.01 lightdm
   1376 monitor   20   0   20544   8652   7628 S   0.0   0.2   0:01.19 systemd
   1377 monitor   20   0   21184   1796   1724 S   0.0   0.0   0:00.00 (sd-pam)
   1388 monitor   20   0  118532   5232   4976 S   0.0   0.1   0:00.08 pipewire
   1391 monitor   20   0   97736   3992   3864 S   0.0   0.1   0:00.01 pipewire
   1393 monitor   20   0  402844   7744   7488 S   0.0   0.2   0:00.03 wireplu+
   1394 monitor   20   0  110124   7204   7076 S   0.0   0.2   0:00.05 pipewir+
   1395 monitor   20   0    9972   4740   3972 S   0.0   0.1   0:03.45 dbus-da+
   1396 monitor   20   0  316508   7068   6684 S   0.0   0.2   0:00.11 gnome-k+
   1419 monitor   20   0  340568   9772   8820 S   0.0   0.2   0:02.88 xfce4-s+
   1495 monitor   20   0  382828   6640   6512 S   0.0   0.2   0:00.00 at-spi-+
   1502 monitor   20   0    9556   4460   3948 S   0.0   0.1   0:01.15 dbus-da+
   1514 monitor   20   0  236016   6612   6228 S   0.0   0.2   0:03.05 at-spi2+
   1522 monitor   20   0  956288  17548  12532 S   0.0   0.4   0:44.34 xfwm4
   1526 monitor   20   0  314160   6760   6376 S   0.0   0.2   0:00.05 gvfsd
   1539 monitor   20   0  305124  10432   9112 S   0.0   0.3   0:07.05 xfsetti+
   1543 root      20   0  316660   6700   6572 S   0.0   0.2   0:00.03 upowerd
   1549 monitor   20   0  417072  19040  15112 S   0.0   0.5   0:14.85 xfce4-p+
   1554 monitor   20   0  613688  33500  24104 S   0.0   0.8   1:08.51 Thunar
   1560 monitor   20   0  424372  17364  13640 S   0.0   0.4   0:05.03 xfdeskt+
   1561 monitor   20   0  536492  24924  19396 S   0.0   0.6   0:16.03 panel-1+
   1562 monitor   20   0  460788  14500  12116 S   0.0   0.4   0:02.35 panel-5+
   1565 monitor   20   0  460036  12228  10700 S   0.0   0.3   0:02.80 panel-6+
   1567 monitor   20   0  339816  12232  10628 S   0.0   0.3   0:01.85 panel-7+
   1571 monitor   20   0  386468  12368  10772 S   0.0   0.3   0:02.24 panel-8+
   1572 monitor   20   0  456652  12852  10956 S   0.0   0.3   0:01.36 panel-9+
   1595 monitor   20   0  463288   9892   8832 S   0.0   0.2   0:02.88 xfce4-n+
   1608 monitor   20   0   12764   1892   1752 S   0.0   0.0   0:07.52 xcape
   1614 monitor   20   0  303500   9508   8528 S   0.0   0.2   0:08.81 xfce4-s+
   1622 monitor   20   0  922032   6316   6188 S   0.0   0.2   0:00.03 xiccd
   1630 monitor   20   0  260088   8296   7912 S   0.0   0.2   0:01.58 polkit-+
   1634 monitor   20   0  260988   8860   8220 S   0.0   0.2   0:02.57 xfce4-p+
   1637 monitor   20   0  499228  15296  13112 S   0.0   0.4   0:06.78 nm-appl+
   1645 colord    20   0  320056   7180   7072 S   0.0   0.2   0:00.13 colord
   1646 monitor   20   0  328368   6740   6612 S   0.0   0.2   0:00.02 ayatana+
